"index","imdb_id","kaggle_id","title","original_title","tagline","belongs_to_collection","wikipedia_url","imdb_link","runtime","budget","revenue","release_date","popularity","vote_average","vote_count","genres","original_language","overview","spoken_languages","country","production_companies","production_countries","distributor","producers","director","starring","cinematography","editors","writers","composers","based_on"
0,"tt0098987",9548,"The Adventures of Ford Fairlane","The Adventures of Ford Fairlane","Kojak. Columbo. Dirty Harry. Wimps.",NULL,"https://en.wikipedia.org/wiki/The_Adventures_of_Ford_Fairlane","https://www.imdb.com/title/tt0098987/",104,49000000,20423389,"1990-07-11 00:00:00",3.834949,6.2,72,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]","en","Ford ""Mr. Rock n' Roll Detective"" Fairlane is experiencing problems, and it's not with the opposite sex. One of them is that all the rock stars pay him with drum sticks, koala bears, food processors and bicycle shorts. Another one of them is that all his employers that want him to find a girl named Zuzu Petals get killed. Why didn't he become a fisherman's detective instead?","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Silver Pictures', 'id': 1885}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","20th Century Fox","{""Steve Perry"",""Joel Silver""}","Renny Harlin","{""Andrew Dice Clay"",""Wayne Newton"",""Priscilla Presley"",""Lauren Holly"",""Morris Day"",""Robert Englund"",""Ed O'Neill""}","Oliver Wood","Michael Tronick","{""David Arnott"",""James Cappe""}","{""Cliff Eidelman"",Yello}","{Characters,""by Rex Weiner""}"
1,"tt0098994",25501,"After Dark, My Sweet","After Dark, My Sweet","All they risked was everything.",NULL,"https://en.wikipedia.org/wiki/After_Dark,_My_Sweet","https://www.imdb.com/title/tt0098994/",114,6000000,2700000,"1990-08-24 00:00:00",7.349189,6.5,17,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]","en","The intriguing relationship between three desperados, who try to kidnap a wealthy child in hope of turning their lives around.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Avenue Pictures Productions', 'id': 251}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Avenue Pictures","{""Ric Kidney"",""Robert Redlin""}","James Foley","{""Jason Patric"",""Rachel Ward"",""Bruce Dern"",""George Dickerson""}","Mark Plummer","Howard E. Smith","{""James Foley"",""Robert Redlin""}","Maurice Jarre","{""the novel"",""After Dark, My Sweet"",by,""Jim Thompson""}"
2,"tt0099005",11856,"Air America","Air America","The few. The proud. The totally insane.",NULL,"https://en.wikipedia.org/wiki/Air_America_(film)","https://www.imdb.com/title/tt0099005/",112,35000000,33461269,"1990-08-10 00:00:00",10.274376,5.3,146,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","en","Air America was the CIA's private airline operating in Laos during the Vietnam War, running anything and everything from soldiers to foodstuffs for local villagers. After losing his pilot's license, Billy Covington is recruited into it, and ends up in the middle of a bunch of lunatic pilots, gun-running by his friend Gene Ryack, and opium smuggling by his own superiors.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'lo', 'name': ''}]","United States","[{'name': 'IndieProd Company Productions', 'id': 959}, {'name': 'Carolco Pictures', 'id': 14723}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","TriStar Pictures","Daniel Melnick","Roger Spottiswoode","{""Mel Gibson"",""Robert Downey Jr."",""Nancy Travis"",""David Marshall Grant"",""Lane Smith""}","Roger Deakins","{""John Bloom"",""Lois Freeman-Fox""}","{""John Eskow"",""Richard Rush""}","Charles Gross","{""Air America"",by,""Christopher Robbins""}"
3,"tt0099012",8217,"Alice","Alice",NULL,NULL,"https://en.wikipedia.org/wiki/Alice_(1990_film)","https://www.imdb.com/title/tt0099012/",102,12000000,7331647,"1990-12-25 00:00:00",7.196816,6.3,57,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","en","Alice Tate, mother of two, with a marriage of 16 years, finds herself falling for the handsome sax player, Joe. Stricken with a backache, she consults Dr. Yang, an oriental herbalist who realizes that her problems are not related to her back, but in her mind and heart. Dr. Yang's magical herbs give Alice wondrous powers, taking her out of well-established rut.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Orion Pictures', 'id': 41}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Orion Pictures","Robert Greenhut","Woody Allen","{""Alec Baldwin"",""Blythe Danner"",""Judy Davis"",""Mia Farrow"",""William Hurt"",""Keye Luke"",""Joe Mantegna"",""Bernadette Peters""}","Carlo Di Palma","Susan E. Morse","Woody Allen",NULL,NULL
4,"tt0099018",25943,"Almost an Angel","Almost an Angel","Who does he think he is?",NULL,"https://en.wikipedia.org/wiki/Almost_an_Angel","https://www.imdb.com/title/tt0099018/",95,25000000,6939946,"1990-12-21 00:00:00",2.862209,5.6,23,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]","en","Terry Dean is an electronics wizard and thief. After he is released from jail, he is hit by a car while saving a little girl's life. While in the hospital, he dreams that God visits him and tells him he's an Angel, and must start doing good things to make up for his past life. Not believing it at first, he soon becomes convinced he must be an Angel. Not having any Angel powers yet, he must use his own experiences and talents to make good things happen.","[{'iso_639_1': 'en', 'name': 'English'}]","US","[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Paramount Pictures","John Cornell","John Cornell","{""Paul Hogan"",""Elias Koteas"",""Linda Kozlowski""}","Russell Boyd","David Stiven","Paul Hogan","Maurice Jarre",NULL
5,"tt0099026",79509,"The Ambulance","The Ambulance","You'll be in perfect health before you die.",NULL,"https://en.wikipedia.org/wiki/The_Ambulance","https://www.imdb.com/title/tt0099026/",91,NULL,NULL,"1989-11-23 00:00:00",1.756955,6,21,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","en","Josh meets a young woman who shortly afterwards collapses and is rushed to hospital in an ambulance. He follows after her only to find that there is no record her being admitted, and he soon learns that her room mate also vanished after being picked up by the same ambulance. Convinced of a conspiracy, Josh proceeds to investigate, despite the discouragement of the police.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Epic Productions', 'id': 1988}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Triumph Releasing Corporation","{""Larry Cohen"",""Moctesuma Esparza"",""Robert Katz""}","Larry Cohen","{""Eric Roberts"",""James Earl Jones"",""Red Buttons"",""Megan Gallagher""}","Jacques Haitkin","{""Claudia Finkle"",""Armond Leibowitz""}","Larry Cohen","Jay Chattaway",NULL
19,"tt0099180",18111,"Bride of Re-Animator","Bride of Re-Animator","Date. Mate. Re-animate.","{'id': 98036, 'name': 'Re-Animator Collection', 'poster_path': '/j1v4JQUVwCDH2KKJGjFeShXp2JT.jpg', 'backdrop_path': '/keGIwkLEaN2iBUPnXvqGbbNOVbq.jpg'}","https://en.wikipedia.org/wiki/Bride_of_Re-Animator","https://www.imdb.com/title/tt0099180/",96,2000000,NULL,"1989-10-01 00:00:00",8.244989,6.1,70,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","en","Herbert West once again revives the dead. This time, he brings Dan's ex-girlfriend's heart back inside a 'perfect' body. Dr. Hill returns as the evil nemesis who lost his head.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Wild Street Pictures', 'id': 4065}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","50th Street Films","Brian Yuzna","Brian Yuzna","{""Jeffrey Combs"",""Bruce Abbott"",""Fabiana Udenio"",""Kathleen Kinmont""}","Rick Fichter","Peter Teschner","{""Rick Fry"",""Woody Keith"",""Brian Yuzna""}","Richard Band","{Characters,by,""H. P. Lovecraft""}"
6,"tt0099028",41326,"American Dream","American Dream","The award-winning film of American lives, American courage, and the...",NULL,"https://en.wikipedia.org/wiki/American_Dream_(film)","https://www.imdb.com/title/tt0099028/",98,NULL,269823,"1990-09-28 00:00:00",0.075885,6,2,"[{'id': 99, 'name': 'Documentary'}]","en","Chronicles the six-month strike at Hormel in Austin, Minnesota, in 1985-86. The local union, P-9 of the Food and Commercial Workers, overwhelmingly rejects a contract offer with a $2/hour wage cut. They strike and hire a New York consultant to manage a national media campaign against Hormel. Despite support from P-9's rank and file, FCWU's international disagrees with the strategy. In addition to union-company tension, there's union-union in-fighting. Hormel holds firm; scabs, replacement workers, brothers on opposite sides, a union coup d'état, and a new contract materialize. The film asks, was it worth it, or was the strike a long-term disaster for organized labor?","[{'iso_639_1': 'en', 'name': 'English'}]","{""United States"",""United Kingdom""}","[]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","Prestige Films","{""Arthur Cohn"",""Barbara Kopple""}","{""Barbara Kopple"",Co-directors:,""Cathy Caplan"",""Thomas Haneke"",""Lawrence Silk""}",NULL,"{""Tom Hurwitz"",""Mathieu Roberts"",""Nesya Shapiro""}","{""Cathy Caplan"",""Thomas Haneke"",""Lawrence Silk""}",NULL,"Michael Small",NULL
7,"tt0101326",25528,"American Ninja 4: The Annihilation","American Ninja 4: The Annihilation",NULL,"{'id': 91945, 'name': 'American Ninja Collection', 'poster_path': '/5cbm8oJR0QlUOxWnSvt3HkcZhb7.jpg', 'backdrop_path': '/znX4o1qtkut4IeprwfEk8uluc4p.jpg'}","https://en.wikipedia.org/wiki/American_Ninja_4:_The_Annihilation","https://www.imdb.com/title/tt0101326/",99,NULL,NULL,"1990-10-30 00:00:00",2.213603,4.8,31,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","en","The two American Ninjas, Joe Armstrong and Sean Davidson, team up to do battle against a terrorist and his band of Ninjas.","[{'iso_639_1': 'en', 'name': 'English'}]","{""United States"",Lesotho}","[{'name': 'Cannon Group', 'id': 1444}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Cannon Group","Ovidio G Assonitis","Cedric Sundstrom","{""Michael Dudikoff"",""David Bradley"",""James Booth"",""Dwayne Alexandre""}",NULL,NULL,"David Geeves",NULL,NULL
8,"tt0099044",11595,"Another 48 Hrs.","Another 48 Hrs.","The boys are back in town.","{'id': 93295, 'name': '48 Hrs. Collection', 'poster_path': '/8Dlcb8aDch6sUcWBc8zSSfNbPgG.jpg', 'backdrop_path': '/hRaxX6WmtukiBvi8ru7RFVQiDYk.jpg'}","https://en.wikipedia.org/wiki/Another_48_Hrs.","https://www.imdb.com/title/tt0099044/",95,38000000,153518974,"1990-06-08 00:00:00",6.938921,5.8,205,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","en","For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the ""Ice Man"". Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day.","[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Paramount Pictures","{""Lawrence Gordon"",""Robert D. Wachs""}","Walter Hill","{""Eddie Murphy"",""Nick Nolte"",""Brion James"",""Ed O'Ross"",""Andrew Divoff""}","Matthew F. Leonetti","{""Donn Aron"",""Carmel Davies"",""Freeman A. Davies"",""Tim Ryder""}","Fred Braughton","James Horner","{""Characters by"",""Roger Spottiswoode"",""Walter Hill"",""Larry Gross"",""Steven E. de Souza""}"
9,"tt0099052",6488,"Arachnophobia","Arachnophobia","Eight legs, two fangs, and an attitude.",NULL,"https://en.wikipedia.org/wiki/Arachnophobia_(film)","https://www.imdb.com/title/tt0099052/",103,31000000,53208180,"1990-08-09 00:00:00",5.418428,6.2,445,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]","en","A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]","United States","[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Tangled Web Productions', 'id': 2104}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Buena Vista Pictures","{""Kathleen Kennedy"",""Richard Vane""}","Frank Marshall","{""Jeff Daniels"",""Julian Sands"",""Harley Jane Kozak"",""John Goodman""}","Mikael Salomon","Michael Kahn","{""Don Jakoby"",""Al Williams""}","Trevor Jones",NULL
10,"tt0099073",2302,"Avalon","Avalon","Three generations of family. They shared a dream called America in a place called Avalon.",NULL,"https://en.wikipedia.org/wiki/Avalon_(1990_film)","https://www.imdb.com/title/tt0099073/",126,NULL,15700000,"1990-10-05 00:00:00",1.949265,6,19,"[{'id': 18, 'name': 'Drama'}]","en","Avalon is the third in Levinson's semi-autobiographical series of four ""Baltimore Films"": Diner (1982), Tin Men (1987), Avalon (1990), and Liberty Heights (1999). The film is set in Baltimore in the early 1950s and explores the themes of Jewish assimilation into American life.","[{'iso_639_1': 'yi', 'name': ''}, {'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Baltimore Pictures', 'id': 11407}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","{""TriStar Pictures"",""(United States)"",""Columbia Pictures"",""(United Kingdom)"",[1]}","{""Mark Johnson"",""Barry Levinson""}","Barry Levinson","{""Armin Mueller-Stahl"",""Elizabeth Perkins"",""Joan Plowright"",""Aidan Quinn""}","Allen Daviau","Stu Linder","Barry Levinson","Randy Newman",NULL
11,"tt0099077",11005,"Awakenings","Awakenings","There is no such thing as a simple miracle.",NULL,"https://en.wikipedia.org/wiki/Awakenings","https://www.imdb.com/title/tt0099077/",120,29000000,52096475,"1990-12-19 00:00:00",13.201595,7.6,568,"[{'id': 18, 'name': 'Drama'}]","en","Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Parkes/Lasker productions', 'id': 67713}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Columbia Pictures","{""Walter F. Parkes"",""Lawrence Lasker""}","Penny Marshall","{""Robert De Niro"",""Robin Williams"",""John Heard"",""Julie Kavner"",""Penelope Ann Miller"",""Max von Sydow""}","Miroslav Ondricek","{""Battle Davis"",""Jerry Greenberg""}","Steven Zaillian","Randy Newman","{Awakenings,by,""Oliver Sacks""}"
425,"tt0106902",28263,"Fifty/Fifty","Fifty/Fifty",NULL,NULL,"https://en.wikipedia.org/wiki/Fifty/Fifty_(1992_film)","https://www.imdb.com/title/tt0106902/",101,NULL,NULL,"1992-01-01 00:00:00",1.199005,7.3,4,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","en","Two bickering mercenaries are hired by the CIA to overthrow a South East Asian dictator.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Cannon Group', 'id': 1444}, {'name': 'Cannon Pictures', 'id': 16337}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Cannon Group","{""Maurice Singer"",""Raymond Wagner""}","Charles Martin Smith","{""Peter Weller"",""Robert Hays""}","David Connell","James Mitchell","{""Dennis Shryack"",""Michael Butler""}","Peter Bernstein",NULL
12,"tt0099088",196,"Back to the Future Part III","Back to the Future Part III","They've saved the best trip for last... But this time they may have gone too far.","{'id': 264, 'name': 'Back to the Future Collection', 'poster_path': '/UV8VEgAxgKVnCVnZhFACmhxjE4.jpg', 'backdrop_path': '/c9C9Pg2QctyjZHRmS0P8rZg1OTA.jpg'}","https://en.wikipedia.org/wiki/Back_to_the_Future_Part_III","https://www.imdb.com/title/tt0099088/",118,40000000,244527583,"1990-05-25 00:00:00",13.043999,7.1,2978,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]","en","The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'U-Drive Productions', 'id': 20448}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Universal Pictures","{""Neil Canton"",""Bob Gale""}","Robert Zemeckis","{""Michael J. Fox"",""Christopher Lloyd"",""Mary Steenburgen"",""Thomas F. Wilson"",""Lea Thompson""}","Dean Cundey","{""Harry Keramidas"",""Arthur Schmidt""}","{""Robert Zemeckis"",""Bob Gale""}","Alan Silvestri",NULL
13,"tt0099091",24249,"Bad Influence","Bad Influence",NULL,NULL,"https://en.wikipedia.org/wiki/Bad_Influence_(film)","https://www.imdb.com/title/tt0099091/",99,7000000,12626043,"1990-03-09 00:00:00",2.301922,5.8,35,"[{'id': 53, 'name': 'Thriller'}]","en","Michael, a wimpy young executive, is about to get pulverized by a jealous boyfriend in a bar when a handsome, mysterious stranger steps in--and then disappears. Later that night, while jogging, Michael runs into the stranger on a pier. He introduces himself as Alex, and the two go out to an under- ground club. Alex wheedles his way into Michael's life and turns it upside down...","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Epic Productions', 'id': 1988}, {'name': 'Producers Representative Organization', 'id': 10740}, {'name': 'Sarliu/Diamant', 'id': 20397}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Triumph Releasing Corporation","Steve Tisch","Curtis Hanson","{""Rob Lowe"",""James Spader""}","Robert Elswit","Bonnie Koehler","David Koepp","Trevor Jones",NULL
14,"tt0099108",27815,"Basket Case 2","Basket Case 2","This time he's not alone.","{'id': 104716, 'name': 'Basket Case Collection', 'poster_path': '/6DdpgHlruy4h6tfpwctFUw0inVj.jpg', 'backdrop_path': '/1R3D39kne1LX2TYcsQ7kly8D9Zb.jpg'}","https://en.wikipedia.org/wiki/Basket_Case_2","https://www.imdb.com/title/tt0099108/",90,2500000,NULL,"1990-03-02 00:00:00",4.052825,5.6,33,"[{'id': 27, 'name': 'Horror'}]","en","Having eluded the authorities after a series of grisly murders, the pair find sanctuary at the palatial home of Granny Ruth, an eccentric philanthropist who rallies the cause of ""Unique Individuals"". But even amongst ""friends"" the pair soon find themselves having to confront their murderous past.","[{'iso_639_1': 'en', 'name': 'English'}]",NULL,"[{'name': 'Shapiro-Glickenhaus Entertainment', 'id': 16636}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Shapiro Glickenhaus Entertainment","Edgar Ievins","Frank Henenlotter","Kevin Van Hentenryck","Robert M. Baldwin","Kevin Tent","Frank Henenlotter","Joe Renzetti",NULL
15,"tt0099128",18913,"Betsy's Wedding","Betsy's Wedding","The wedding picture doesn't always tell the real story.",NULL,"https://en.wikipedia.org/wiki/Betsy%27s_Wedding","https://www.imdb.com/title/tt0099128/",94,NULL,19740070,"1990-06-22 00:00:00",7.772822,5,11,"[{'id': 35, 'name': 'Comedy'}]","en","Offbeat fashion student Betsy Hopper and her straight-laced investment-banker fiancé, Dylan Walsh, just want an intimate little wedding reception, but Betsy's father, Eddie, a Long Island construction contractor, feels so threatened by Jake's rich WASP parents that he blows the ceremony up into a bank-breaking showpiece, sending his wife, Lola, into a financial panic.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Silver Screen Partners IV', 'id': 10282}, {'name': ""Betsy's Wedding"", 'id': 56975}, {'name': 'Martin Bregman Productions', 'id': 56976}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Buena Vista Pictures","{""Martin Bregman"",""Louis A. Stroller""}","Alan Alda","{""Alan Alda"",""Joey Bishop"",""Madeline Kahn"",""Catherine O'Hara"",""Joe Pesci"",""Ally Sheedy"",""Burt Young"",""Molly Ringwald""}","Kelvin Pike","Michael E. Polakow","Alan Alda","Bruce Broughton",NULL
16,"tt0099141",1727,"Bird on a Wire","Bird on a Wire","He's every woman's dream and one woman's nightmare",NULL,"https://en.wikipedia.org/wiki/Bird_on_a_Wire_(film)","https://www.imdb.com/title/tt0099141/",110,20000000,138697012,"1990-05-18 00:00:00",8.300805,5.9,209,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","en","A FBI informant has kept his new identity secret for 15 years, now an old flame has recognised him and the bad guys are back for revenge.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Interscope Communications', 'id': 10201}, {'name': 'The Badham-Cohen Group', 'id': 12646}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Universal Pictures","Rob Cohen","John Badham","{""Mel Gibson"",""Goldie Hawn"",""David Carradine"",""Bill Duke""}","Robert Primes","{""Frank Morriss"",""Dallas Puett""}","{""Louis Venosta"",""David Seltzer""}","Hans Zimmer",NULL
17,"tt0099160",9491,"Blue Steel","Blue Steel","For a rookie cop, there's one thing more dangerous than uncovering a killer's fantasy. Becoming it.",NULL,"https://en.wikipedia.org/wiki/Blue_Steel_(1990_film)","https://www.imdb.com/title/tt0099160/",102,NULL,8199999.999999999,"1990-03-16 00:00:00",5.200399,5.4,70,"[{'id': 53, 'name': 'Thriller'}]","en","A female rookie in the police force engages in a cat and mouse game with a pistol wielding psychopath who becomes obsessed with her.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Lightning Pictures', 'id': 4233}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Vestron Pictures', 'id': 12360}, {'name': 'Precision Films', 'id': 49803}, {'name': 'Mack-Taylor Productions', 'id': 58287}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Metro-Goldwyn-Mayer","{""Edward R. Pressman"",""Oliver Stone"",""Lawrence Kasanoff""}","Kathryn Bigelow","{""Jamie Lee Curtis"",""Ron Silver"",""Clancy Brown"",""Elizabeth Peña"",""Louise Fletcher""}","Amir Mokri","Lee Percy","{""Kathryn Bigelow"",""Eric Red"",[1]}","Brad Fiedel",NULL
18,"tt0099165",9586,"The Bonfire of the Vanities","The Bonfire of the Vanities","Take one Wall Street tycoon, his Fifth Avenue mistress, a reporter hungry for fame, and make the wrong turn in The Bronx...then sit back and watch the sparks fly.",NULL,"https://en.wikipedia.org/wiki/The_Bonfire_of_the_Vanities_(film)","https://www.imdb.com/title/tt0099165/",125,47000000,15691192,"1990-12-21 00:00:00",5.507082,5.3,113,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","en","After his mistress runs over a young teen, a Wall Street hotshot sees his life unravel in the spotlight, and attracting the interest of a down and out reporter.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Warner Bros.","Brian De Palma","Brian De Palma","{""Tom Hanks"",""Bruce Willis"",""Melanie Griffith"",""Morgan Freeman""}","Vilmos Zsigmond","{""Bill Pankow"",""David Ray""}","Michael Cristofer","Dave Grusin","{""The Bonfire of the Vanities"",by,""Tom Wolfe""}"
20,"tt0101531",28553,"Cadence","Cadence","Sometimes you've got to stand out to fit in.",NULL,"https://en.wikipedia.org/wiki/Cadence_(film)","https://www.imdb.com/title/tt0101531/",97,NULL,2070871,"1990-11-16 00:00:00",5.450197,6.4,21,"[{'id': 18, 'name': 'Drama'}]","en","As punishment for drunken, rebellious behavior, a young white soldier is thrown into a stockade populated entirely by black inmates. But instead of falling victim to racial hatred, the soldier joins forces with his fellow prisoners and rises up against the insanely tyrannical and bigoted prison warden.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Republic Pictures', 'id': 1432}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]","{""New Line Cinema"",""Republic Pictures""}","{""Timothy Gamble"",""Frank Giustra"",""Peter E. Strauss""}","Martin Sheen","{""Charlie Sheen"",""Martin Sheen"",""Laurence Fishburne"",""Michael Beach"",""Ramon Estevez""}","Richard Leiterman","Martin Hunter","Dennis Shryack","Georges Delerue",NULL
21,"tt0099204",10164,"Cadillac Man","Cadillac Man","If You Can't Trust a Car Salesman Who Can You Trust?",NULL,"https://en.wikipedia.org/wiki/Cadillac_Man","https://www.imdb.com/title/tt0099204/",97,15000000,27575086,"1990-05-18 00:00:00",6.882529,5.3,54,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","en","Joe's a car salesman with a problem. He has two days to sell 12 cars or he loses his job. This would be a difficult task at the best of times but Joe has to contend with his girlfriends (he's two timing), a missing teenage daughter and an ex-wife. What more could go wrong ?.. a lot, enter a crazy jealous husband with a machine gun...","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]","United States","[{'name': 'Orion Pictures', 'id': 41}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Orion Pictures","{""Roger Donaldson"",""Charles Roven""}","Roger Donaldson","{""Robin Williams"",""Tim Robbins"",""Pamela Reed"",""Fran Drescher""}","David Gribble","Richard Francis-Bruce","Ken Friedman","J. Peter Robinson",NULL
22,"tt0099212",49497,"Camp Cucamonga","Camp Cucamonga",NULL,NULL,"https://en.wikipedia.org/wiki/Camp_Cucamonga","https://www.imdb.com/title/tt0099212/",93,NULL,NULL,"1990-09-23 00:00:00",1.79831,4.7,9,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","en","Standard camp shenanigans and romance amongst the counselors and the campers at a lake front summer camp.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[]","[]","NBC","{""Scott Maitland (co-producer)"",""Bennett Tramer (supervising producer)""}","Roger Duchowny","{""John Ratzenberger"",""Brian Robbins"",""Jennifer Aniston"",""Chad Allen"",""Candace Cameron"",""Danica McKellar"",""Josh Saviano"",""Tasha Scott"",""Jaleel White"",""Johnny Galecki"",""Dorothy Lyman"",""Richard Herd"",""Sherman Hemsley"",""G. Gordon Liddy""}","Peter Smokler","Larry Harris","{""Bennett Tramer (Story & teleplay)"",""Rich Melcombe"",(Story)}","Michael Cruz",NULL
